epoch,loop,f1_micro,f1_macro,roc_auc,accuracy,f1_Conservative,f1_Liberal,f1_Neutral
0,train,0.3368560105680317,0.29530576481350934,0.5026420079260239,0.3368560105680317,0.16688918558077437,0.48541666666666666,0.23361144219308702
0,validation,0.39907550077041604,0.38225220912514074,0.5493066255778121,0.39907550077041604,0.32318501170960184,0.5018050541516245,0.3217665615141956
1,train,0.3619550858652576,0.33396493379865344,0.5214663143989432,0.3619550858652576,0.2762063227953411,0.4818840579710145,0.24380442062960483
1,validation,0.44684129429892144,0.43024406605380344,0.5851309707241911,0.44684129429892144,0.3654320987654321,0.5365853658536586,0.3887147335423197
2,train,0.42305151915455746,0.39533681730987436,0.567288639365918,0.42305151915455746,0.4304812834224599,0.4909441233140655,0.26458504519309783
2,validation,0.43605546995377503,0.42682440848561437,0.5770416024653313,0.43605546995377503,0.40094339622641506,0.49629629629629635,0.38323353293413176
3,train,0.44815059445178335,0.4310471227346522,0.5861129458388376,0.44815059445178335,0.4459644322845417,0.5091487669053301,0.3380281690140845
3,validation,0.4514637904468413,0.44383333664067104,0.588597842835131,0.4514637904468413,0.42608695652173917,0.5028571428571429,0.402555910543131
4,train,0.49504623513870544,0.47570554822294236,0.6212846763540291,0.49504623513870544,0.49618663077613284,0.5593288054334797,0.3716012084592145
4,validation,0.45454545454545453,0.4466210492016944,0.5909090909090909,0.45454545454545453,0.4344086021505376,0.5028571428571429,0.4025974025974026
-1,test,0.4221879815100154,0.39950789950789956,0.5666409861325115,0.4221879815100154,0.4188034188034188,0.4999999999999999,0.27972027972027974
