,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3371710526315789,0.5028782894736842,0.3371710526315789
1,0,validation,0.3425925925925926,0.5069444444444444,0.3425925925925926
2,1,train,0.3794736842105263,0.5346052631578948,0.3794736842105263
3,1,validation,0.40128968253968256,0.5509672619047619,0.40128968253968256
4,2,train,0.4280263157894737,0.5710197368421053,0.4280263157894737
5,2,validation,0.4250992063492064,0.5688244047619048,0.4250992063492064
6,3,train,0.5105921052631579,0.6329440789473685,0.5105921052631579
7,3,validation,0.46775793650793646,0.6008184523809523,0.46775793650793646
8,4,train,0.5766447368421053,0.6824835526315789,0.5766447368421053
9,4,validation,0.5085978835978836,0.6314484126984127,0.5085978835978836
10,5,train,0.6394736842105263,0.7296052631578948,0.6394736842105263
11,5,validation,0.4890873015873016,0.6168154761904762,0.4890873015873016
12,6,train,0.7302631578947368,0.7976973684210527,0.7302631578947368
13,6,validation,0.49570105820105814,0.6217757936507936,0.49570105820105814
14,7,train,0.8271710526315789,0.8703782894736841,0.8271710526315789
15,7,validation,0.5191798941798942,0.6393849206349207,0.5191798941798942
16,8,train,0.909671052631579,0.9322532894736842,0.909671052631579
17,8,validation,0.501984126984127,0.6264880952380952,0.501984126984127
18,9,train,0.9376315789473685,0.9532236842105264,0.9376315789473685
19,9,validation,0.5109126984126984,0.6331845238095238,0.5109126984126984
20,-1,test,0.5077711640211641,0.630828373015873,0.5077711640211641
