epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,433,351,421
0,train,Liberal,503,419,483
0,train,Neutral,114,104,200
0,validation,Conservative,141,96,12
0,validation,Liberal,117,159,20
0,validation,Neutral,52,17,35
1,train,Conservative,537,560,108
1,train,Liberal,557,729,119
1,train,Neutral,136,145,137
1,validation,Conservative,90,126,33
1,validation,Liberal,80,177,39
1,validation,Neutral,35,25,44
2,train,Conservative,515,597,93
2,train,Liberal,445,866,94
2,train,Neutral,128,112,178
2,validation,Conservative,69,151,29
2,validation,Liberal,53,210,33
2,validation,Neutral,31,31,42
3,train,Conservative,715,423,67
3,train,Liberal,330,1027,48
3,train,Neutral,137,64,217
3,validation,Conservative,113,113,23
3,validation,Liberal,84,186,26
3,validation,Neutral,42,28,34
4,train,Conservative,864,243,98
4,train,Liberal,178,1181,46
4,train,Neutral,99,45,274
4,validation,Conservative,135,96,18
4,validation,Liberal,109,169,18
4,validation,Neutral,43,30,31
-1,test,Conservative,127,89,31
-1,test,Liberal,123,179,22
-1,test,Neutral,34,25,19
