,embedding_model,learning_rate,epoch,score,path,n_samples,iteration,time,measure,n_optim_iterations,optim,warmup_ratio,weight_decay,classifier
25,google-bert/bert-base-uncased,1e-06,1,0.1403508771929824,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
26,google-bert/bert-base-uncased,1e-06,2,0.3829059829059829,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
27,google-bert/bert-base-uncased,1e-06,3,0.3999999999999999,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
28,google-bert/bert-base-uncased,1e-06,4,0.4722222222222221,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
29,google-bert/bert-base-uncased,1e-06,5,0.4273504273504273,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
30,google-bert/bert-base-uncased,5e-05,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
31,google-bert/bert-base-uncased,5e-05,1,0.1333333333333333,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
32,google-bert/bert-base-uncased,5e-05,2,0.125,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
33,google-bert/bert-base-uncased,5e-05,3,0.4333333333333333,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
34,google-bert/bert-base-uncased,5e-05,4,0.5023310023310024,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
35,google-bert/bert-base-uncased,5e-05,5,0.5571428571428572,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
36,google-bert/bert-base-uncased,1e-05,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
37,google-bert/bert-base-uncased,1e-05,1,0.1333333333333333,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
38,google-bert/bert-base-uncased,1e-05,2,0.200956937799043,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
39,google-bert/bert-base-uncased,1e-05,3,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
40,google-bert/bert-base-uncased,1e-05,4,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
41,google-bert/bert-base-uncased,1e-05,5,0.440422322775264,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
42,google-bert/bert-base-uncased,0.0001,0,0.33,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
43,google-bert/bert-base-uncased,0.0001,1,0.1587301587301587,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
44,google-bert/bert-base-uncased,0.0001,2,0.1978021978021978,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
45,google-bert/bert-base-uncased,0.0001,3,0.3421052631578947,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
46,google-bert/bert-base-uncased,0.0001,4,0.4507122507122507,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
47,google-bert/bert-base-uncased,0.0001,5,0.4507122507122507,./src3/319_models/2025-06-09-google-bert/bert-base-uncased-1e-04-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
48,FacebookAI/roberta-base,1e-06,0,0.33,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
49,FacebookAI/roberta-base,1e-06,1,0.1818181818181818,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
50,FacebookAI/roberta-base,1e-06,2,0.1818181818181818,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
51,FacebookAI/roberta-base,1e-06,3,0.2962962962962963,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
52,FacebookAI/roberta-base,1e-06,4,0.3444444444444444,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
53,FacebookAI/roberta-base,1e-06,5,0.3787878787878787,./src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-06-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
