,Unnamed: 0,filename,n_samples,epoch,time,f1_macro,hidden_layer_sizes,max_iter,early_stopping,iteration
37,37,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,1,0.1912777423858642,0.6432588432588433,(),1000,True,2.0
38,38,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,2,0.2094793319702148,0.7041922460040927,(),1000,True,2.0
39,39,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,3,0.2626676559448242,0.6549851286693391,(),1000,True,2.0
40,40,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,4,0.2181980609893798,0.6764102564102564,(),1000,True,2.0
41,41,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,5,0.149122953414917,0.6365533691115086,(),1000,True,2.0
42,42,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,0,0.3669025897979736,0.5852229545799997,(),1000,True,2.0
43,43,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,1,0.138700246810913,0.6170719602977668,(),1000,True,2.0
44,44,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,2,0.4236974716186523,0.5878304534042239,(),1000,True,2.0
45,45,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,3,0.1586618423461914,0.5284511784511784,(),1000,True,2.0
46,46,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,4,0.2702386379241943,0.7365510410433131,(),1000,True,2.0
47,47,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,5,0.5248358249664307,0.6007011796485481,(),1000,True,2.0
48,48,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,0,0.0325801372528076,0.6107304460245637,(),1000,True,3.0
49,49,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,1,0.0334548950195312,0.4521642833068515,(),1000,True,3.0
50,50,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,2,0.0352454185485839,0.5255224469959298,(),1000,True,3.0
51,51,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,3,0.0738492012023925,0.442672114346244,(),1000,True,3.0
52,52,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,4,0.0549988746643066,0.6587726475745179,(),1000,True,3.0
53,53,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,500,5,0.0643503665924072,0.4733221624481876,(),1000,True,3.0
54,54,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,0,0.1299512386322021,0.5030368062290639,(),1000,True,3.0
55,55,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,1,0.0995087623596191,0.4493222236040293,(),1000,True,3.0
56,56,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,2,0.0840256214141845,0.753623188405797,(),1000,True,3.0
