path,n_samples,epoch,time,score,n_estimators,criterion,max_depth,iteration,embedding_model,learning_rate,classifier,weight_decay,warmup_ratio,optim,n_optim_iterations,measure,n_neighbors,metric,hidden_layer_sizes,max_iter,early_stopping
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,0,53.93246126174927,0.5949644225506295,340.0,entropy,90.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,1,33.164018869400024,0.5551419906258616,120.0,entropy,90.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,2,33.58799886703491,0.624661331550318,230.0,log_loss,60.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,3,30.17245960235596,0.5966080789392537,10.0,entropy,30.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,4,30.386106252670288,0.6757278208440999,120.0,log_loss,90.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,100,5,48.45624995231629,0.5651515151515151,340.0,gini,30.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,0,92.24412369728088,0.6226001511715797,780.0,gini,60.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,1,38.06027412414551,0.6234309913431616,340.0,entropy,90.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,2,34.76633024215698,0.7356487275761369,10.0,log_loss,30.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,3,28.2617666721344,0.6011204481792717,230.0,entropy,30.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,4,42.86119604110718,0.668212739641311,230.0,log_loss,90.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,200,5,66.33675861358643,0.6146633289490432,10.0,entropy,30.0,1.0,answerdotai/ModernBERT-base,0.0001,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
