epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,166,123,129
0,train,Conservative,463,391,351
0,train,Liberal,540,460,405
0,validation,Neutral,74,25,5
0,validation,Conservative,181,64,4
0,validation,Liberal,210,80,6
1,train,Neutral,129,130,159
1,train,Conservative,338,354,513
1,train,Liberal,408,417,580
1,validation,Neutral,54,12,38
1,validation,Conservative,130,23,96
1,validation,Liberal,149,39,108
2,train,Neutral,181,48,189
2,train,Conservative,451,167,587
2,train,Liberal,529,188,688
2,validation,Neutral,90,14,0
2,validation,Conservative,221,28,0
2,validation,Liberal,262,34,0
3,train,Neutral,187,60,171
3,train,Conservative,562,158,485
3,train,Liberal,672,180,553
3,validation,Neutral,86,14,4
3,validation,Conservative,196,42,11
3,validation,Liberal,239,43,14
4,train,Neutral,191,79,148
4,train,Conservative,556,226,423
4,train,Liberal,691,221,493
4,validation,Neutral,40,52,12
4,validation,Conservative,97,115,37
4,validation,Liberal,122,131,43
-1,test,Neutral,41,27,10
-1,test,Conservative,113,96,38
-1,test,Liberal,153,125,46
