epoch,loop,f1,roc_auc,accuracy
0,train,0.34015852047556144,0.5051188903566711,0.34015852047556144
0,validation,0.34822804314329736,0.511171032357473,0.34822804314329736
1,train,0.3441215323645971,0.5080911492734479,0.3441215323645971
1,validation,0.31124807395993837,0.4834360554699538,0.31124807395993837
2,train,0.31935270805812416,0.48951453104359316,0.31935270805812416
2,validation,0.35901386748844377,0.5192604006163328,0.35901386748844377
3,train,0.37549537648612946,0.5316215323645971,0.37549537648612946
3,validation,0.36615384615384616,0.5242681047765794,0.36363636363636365
4,train,0.3728533685601057,0.5296400264200792,0.3728533685601057
4,validation,0.2997694081475788,0.47419106317411397,0.29583975346687214
-1,test,0.3359013867488444,0.5019260400616332,0.3359013867488444
