epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,122,117,179
0,train,Conservative,349,378,478
0,train,Liberal,410,465,530
0,validation,Neutral,31,31,42
0,validation,Conservative,79,50,120
0,validation,Liberal,103,48,145
1,train,Neutral,122,119,177
1,train,Conservative,389,338,478
1,train,Liberal,441,382,582
1,validation,Neutral,43,11,50
1,validation,Conservative,113,32,104
1,validation,Liberal,132,37,127
2,train,Neutral,147,124,147
2,train,Conservative,448,331,426
2,train,Liberal,522,394,489
2,validation,Neutral,31,24,49
2,validation,Conservative,70,66,113
2,validation,Liberal,80,80,136
3,train,Neutral,103,120,195
3,train,Conservative,305,346,554
3,train,Liberal,374,343,688
3,validation,Neutral,39,15,50
3,validation,Conservative,75,44,130
3,validation,Liberal,97,45,154
4,train,Neutral,83,134,201
4,train,Conservative,279,346,580
4,train,Liberal,286,419,700
4,validation,Neutral,46,12,46
4,validation,Conservative,111,12,126
4,validation,Liberal,139,21,136
-1,test,Neutral,41,4,33
-1,test,Conservative,103,17,127
-1,test,Liberal,145,19,160
