epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,410,458,337
0,train,Liberal,424,636,345
0,train,Neutral,126,132,160
0,validation,Conservative,101,98,50
0,validation,Liberal,85,135,76
0,validation,Neutral,26,20,58
1,train,Conservative,612,401,192
1,train,Liberal,395,835,175
1,train,Neutral,107,100,211
1,validation,Conservative,129,92,28
1,validation,Liberal,111,147,38
1,validation,Neutral,37,20,47
2,train,Conservative,963,165,77
2,train,Liberal,164,1170,71
2,train,Neutral,73,72,273
2,validation,Conservative,141,80,28
2,validation,Liberal,115,148,33
2,validation,Neutral,34,23,47
3,train,Conservative,1115,55,35
3,train,Liberal,59,1295,51
3,train,Neutral,37,38,343
3,validation,Conservative,135,95,19
3,validation,Liberal,112,164,20
3,validation,Neutral,38,39,27
4,train,Conservative,1164,24,17
4,train,Liberal,18,1361,26
4,train,Neutral,20,17,381
4,validation,Conservative,160,71,18
4,validation,Liberal,134,141,21
4,validation,Neutral,45,26,33
-1,test,Conservative,147,70,30
-1,test,Liberal,148,152,24
-1,test,Neutral,39,18,21
