epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,472,305,428
0,train,Liberal,501,386,518
0,train,Neutral,130,114,174
0,validation,Conservative,95,80,74
0,validation,Liberal,105,111,80
0,validation,Neutral,35,35,34
1,train,Conservative,400,416,389
1,train,Liberal,434,517,454
1,train,Neutral,128,143,147
1,validation,Conservative,96,86,67
1,validation,Liberal,90,135,71
1,validation,Neutral,31,36,37
2,train,Conservative,379,475,351
2,train,Liberal,358,654,393
2,train,Neutral,96,164,158
2,validation,Conservative,71,101,77
2,validation,Liberal,62,141,93
2,validation,Neutral,21,34,49
3,train,Conservative,381,464,360
3,train,Liberal,334,716,355
3,train,Neutral,79,156,183
3,validation,Conservative,72,103,74
3,validation,Liberal,63,146,87
3,validation,Neutral,15,29,60
4,train,Conservative,354,492,359
4,train,Liberal,291,782,332
4,train,Neutral,75,150,193
4,validation,Conservative,63,119,67
4,validation,Liberal,48,163,85
4,validation,Neutral,11,31,62
-1,test,Conservative,65,92,90
-1,test,Liberal,67,173,84
-1,test,Neutral,9,34,35
