,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3579605263157895,0.5158388157894737,0.3474342105263158
1,0,validation,0.33796296296296297,0.5034722222222222,0.33796296296296297
2,1,train,0.2986842105263158,0.47401315789473686,0.2986842105263158
3,1,validation,0.3255621693121693,0.494171626984127,0.3255621693121693
4,2,train,0.3205921052631579,0.4904440789473684,0.3205921052631579
5,2,validation,0.2814153439153439,0.4610615079365079,0.2814153439153439
6,3,train,0.34401315789473685,0.5080098684210526,0.34401315789473685
7,3,validation,0.2992724867724868,0.47445436507936506,0.2992724867724868
8,4,train,0.3525657894736842,0.5144243421052631,0.3525657894736842
9,4,validation,0.26967592592592593,0.4522569444444445,0.26967592592592593
10,5,train,0.3036184210526316,0.47376644736842105,0.2878289473684211
11,5,validation,0.30241402116402116,0.4768105158730159,0.30241402116402116
12,6,train,0.3330921052631579,0.49981907894736843,0.3330921052631579
13,6,validation,0.32688492063492064,0.49516369047619047,0.32688492063492064
14,7,train,0.33171052631578946,0.49878289473684206,0.33171052631578946
15,7,validation,0.298776455026455,0.4740823412698412,0.298776455026455
16,8,train,0.3106578947368421,0.48299342105263154,0.3106578947368421
17,8,validation,0.3759920634920635,0.5319940476190477,0.3759920634920635
18,9,train,0.32460526315789473,0.4895065789473684,0.3088157894736842
19,9,validation,0.31712962962962965,0.4878472222222222,0.31712962962962965
20,-1,test,0.32853835978835977,0.4964037698412698,0.32853835978835977
