epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,189,122,107
0,train,Conservative,332,415,458
0,train,Liberal,381,465,559
0,validation,Neutral,46,9,49
0,validation,Conservative,19,25,205
0,validation,Liberal,40,15,241
1,train,Neutral,178,115,125
1,train,Conservative,112,500,593
1,train,Liberal,115,389,901
1,validation,Neutral,40,34,30
1,validation,Conservative,22,92,135
1,validation,Liberal,33,82,181
2,train,Neutral,288,69,61
2,train,Conservative,64,834,307
2,train,Liberal,66,305,1034
2,validation,Neutral,52,30,22
2,validation,Conservative,47,116,86
2,validation,Liberal,64,98,134
3,train,Neutral,368,24,26
3,train,Conservative,38,1073,94
3,train,Liberal,41,104,1260
3,validation,Neutral,45,34,25
3,validation,Conservative,39,124,86
3,validation,Liberal,37,109,150
4,train,Neutral,391,12,15
4,train,Conservative,18,1147,40
4,train,Liberal,26,46,1333
4,validation,Neutral,25,45,34
4,validation,Conservative,18,120,111
4,validation,Liberal,20,89,187
-1,test,Neutral,20,29,29
-1,test,Conservative,16,121,110
-1,test,Liberal,14,104,206
