folder,epoch,score,measure,learning_rate,optim,warmup_ratio,weight_decay,embedding_model,classifier
./models/google-bert/bert-base-uncased/003,5,0.7225268288600728,f1_macro,5e-05,adamw_torch,0.1,0.01,google-bert/bert-base-uncased,Baseline - HF Classifier
./models/google-bert/bert-base-uncased/004,1,0.7275873977118791,f1_macro,0.0001,adamw_torch,0.1,0.01,google-bert/bert-base-uncased,Baseline - HF Classifier
./models/google-bert/bert-base-uncased/004,2,0.5628908539498266,f1_macro,0.0001,adamw_torch,0.1,0.01,google-bert/bert-base-uncased,Baseline - HF Classifier
./models/google-bert/bert-base-uncased/004,3,0.6712511660682113,f1_macro,0.0001,adamw_torch,0.1,0.01,google-bert/bert-base-uncased,Baseline - HF Classifier
./models/google-bert/bert-base-uncased/004,4,0.7233431979194691,f1_macro,0.0001,adamw_torch,0.1,0.01,google-bert/bert-base-uncased,Baseline - HF Classifier
./models/google-bert/bert-base-uncased/004,5,0.7315005403736298,f1_macro,0.0001,adamw_torch,0.1,0.01,google-bert/bert-base-uncased,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/001,1,0.415905124212348,f1_macro,1e-06,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/001,2,0.2914420438053158,f1_macro,1e-06,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/001,3,0.3545224636268673,f1_macro,1e-06,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/001,4,0.3898579673333884,f1_macro,1e-06,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/001,5,0.4143518518518518,f1_macro,1e-06,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/002,1,0.6026192392052349,f1_macro,1e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/002,2,0.5367612321900439,f1_macro,1e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/002,3,0.4875322263152728,f1_macro,1e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/002,4,0.5680524455512155,f1_macro,1e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/002,5,0.6062385338497348,f1_macro,1e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/003,1,0.6683166744780404,f1_macro,5e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/003,2,0.5215578773300141,f1_macro,5e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/003,3,0.5605129944354423,f1_macro,5e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/003,4,0.632443752069409,f1_macro,5e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/003,5,0.6578299898461551,f1_macro,5e-05,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/004,1,0.7011944755505786,f1_macro,0.0001,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/004,2,0.39567365014477945,f1_macro,0.0001,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/004,3,0.5964443496716153,f1_macro,0.0001,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/004,4,0.6727485380116959,f1_macro,0.0001,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
./models/answerdotai/ModernBERT-base/004,5,0.6883603520148217,f1_macro,0.0001,adamw_torch,0.1,0.01,answerdotai/ModernBERT-base,Baseline - HF Classifier
