epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,131,132,155
0,train,Conservative,396,411,398
0,train,Liberal,457,465,483
0,validation,Neutral,96,8,0
0,validation,Conservative,224,24,1
0,validation,Liberal,256,40,0
1,train,Neutral,198,135,85
1,train,Conservative,493,414,298
1,train,Liberal,641,433,331
1,validation,Neutral,101,3,0
1,validation,Conservative,238,9,2
1,validation,Liberal,281,15,0
2,train,Neutral,218,131,69
2,train,Conservative,598,426,181
2,train,Liberal,720,488,197
2,validation,Neutral,80,21,3
2,validation,Conservative,181,68,0
2,validation,Liberal,217,78,1
3,train,Neutral,209,193,16
3,train,Conservative,584,598,23
3,train,Liberal,714,672,19
3,validation,Neutral,70,34,0
3,validation,Conservative,178,71,0
3,validation,Liberal,216,80,0
4,train,Neutral,219,199,0
4,train,Conservative,606,599,0
4,train,Liberal,730,675,0
4,validation,Neutral,83,21,0
4,validation,Conservative,202,47,0
4,validation,Liberal,242,54,0
-1,test,Neutral,68,10,0
-1,test,Conservative,193,54,0
-1,test,Liberal,259,65,0
