epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,445,424,336
0,train,Liberal,439,602,364
0,train,Neutral,109,112,197
0,validation,Conservative,98,71,80
0,validation,Liberal,96,108,92
0,validation,Neutral,19,20,65
1,train,Conservative,700,377,128
1,train,Liberal,367,919,119
1,train,Neutral,74,87,257
1,validation,Conservative,105,103,41
1,validation,Liberal,76,175,45
1,validation,Neutral,27,26,51
2,train,Conservative,1012,136,57
2,train,Liberal,143,1219,43
2,train,Neutral,31,50,337
2,validation,Conservative,126,93,30
2,validation,Liberal,95,172,29
2,validation,Neutral,30,36,38
3,train,Conservative,1138,46,21
3,train,Liberal,49,1332,24
3,train,Neutral,12,17,389
3,validation,Conservative,141,92,16
3,validation,Liberal,121,154,21
3,validation,Neutral,40,36,28
4,train,Conservative,1179,18,8
4,train,Liberal,25,1361,19
4,train,Neutral,5,14,399
4,validation,Conservative,134,94,21
4,validation,Liberal,118,155,23
4,validation,Neutral,41,32,31
-1,test,Conservative,144,80,23
-1,test,Liberal,123,180,21
-1,test,Neutral,31,25,22
