epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,208,116,94
0,train,Conservative,420,413,372
0,train,Liberal,469,435,501
0,validation,Neutral,42,41,21
0,validation,Conservative,19,148,82
0,validation,Liberal,29,136,131
1,train,Neutral,226,119,73
1,train,Conservative,175,667,363
1,train,Liberal,224,430,751
1,validation,Neutral,42,40,22
1,validation,Conservative,21,146,82
1,validation,Liberal,36,128,132
2,train,Neutral,301,52,65
2,train,Conservative,52,911,242
2,train,Liberal,82,259,1064
2,validation,Neutral,40,34,30
2,validation,Conservative,31,146,72
2,validation,Liberal,40,114,142
3,train,Neutral,360,29,29
3,train,Conservative,33,1092,80
3,train,Liberal,34,87,1284
3,validation,Neutral,50,22,32
3,validation,Conservative,35,105,109
3,validation,Liberal,38,97,161
4,train,Neutral,396,10,12
4,train,Conservative,23,1147,35
4,train,Liberal,17,38,1350
4,validation,Neutral,36,24,44
4,validation,Conservative,31,115,103
4,validation,Liberal,26,108,162
-1,test,Neutral,24,23,31
-1,test,Conservative,37,123,87
-1,test,Liberal,35,99,190
