,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3844121532364597,0.5383091149273448,0.3844121532364597
1,0,validation,0.43297380585516176,0.5747303543913713,0.43297380585516176
2,1,train,0.4699471598414795,0.6024603698811096,0.4699471598414795
3,1,validation,0.4622496147919877,0.5966872110939908,0.4622496147919877
4,2,train,0.5977542932628798,0.6983157199471599,0.5977542932628798
5,2,validation,0.4869029275808937,0.6151771956856702,0.4869029275808937
6,3,train,0.808454425363276,0.856340819022457,0.808454425363276
7,3,validation,0.5130970724191063,0.6348228043143298,0.5130970724191063
8,4,train,0.9253632760898283,0.9440224570673712,0.9253632760898283
9,4,validation,0.50231124807396,0.62673343605547,0.50231124807396
10,-1,test,0.5331278890600925,0.6498459167950694,0.5331278890600925
