epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,451,422,332
0,train,Liberal,453,576,376
0,train,Neutral,113,103,202
0,validation,Conservative,72,167,10
0,validation,Liberal,60,223,13
0,validation,Neutral,36,47,21
1,train,Conservative,643,426,136
1,train,Liberal,361,917,127
1,train,Neutral,97,98,223
1,validation,Conservative,145,75,29
1,validation,Liberal,127,140,29
1,validation,Neutral,32,28,44
2,train,Conservative,959,179,67
2,train,Liberal,215,1137,53
2,train,Neutral,56,48,314
2,validation,Conservative,140,93,16
2,validation,Liberal,108,169,19
2,validation,Neutral,34,32,38
3,train,Conservative,1117,64,24
3,train,Liberal,69,1304,32
3,train,Neutral,34,22,362
3,validation,Conservative,118,105,26
3,validation,Liberal,93,175,28
3,validation,Neutral,27,36,41
4,train,Conservative,1160,30,15
4,train,Liberal,39,1346,20
4,train,Neutral,13,12,393
4,validation,Conservative,154,74,21
4,validation,Liberal,140,137,19
4,validation,Neutral,39,31,34
-1,test,Conservative,143,79,25
-1,test,Liberal,146,151,27
-1,test,Neutral,35,23,20
