epoch,loop,f1,roc_auc,accuracy
0,train,0.3533685601056803,0.5150264200792601,0.3533685601056803
0,validation,0.5082039911308204,0.5435285053929122,0.060092449922958396
1,train,0.37219286657859973,0.5291446499339497,0.37219286657859973
1,validation,0.4576612903225806,0.5104006163328197,0.12326656394453005
2,train,0.35700132100396303,0.5177509907529723,0.35700132100396303
2,validation,0.4407124681933842,0.4934514637904469,0.06317411402157165
3,train,0.3609643328929987,0.5207232496697489,0.3609643328929987
3,validation,0.4376299376299376,0.4953775038520801,0.07550077041602465
4,train,0.3771466314398943,0.5328599735799208,0.3771466314398943
4,validation,0.3880157170923379,0.4221879815100154,0.0061633281972265025
-1,test,0.3841315916787615,0.412557781201849,0.01078582434514638
