epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,381,423,401
0,train,Liberal,390,577,438
0,train,Neutral,128,110,180
0,validation,Conservative,57,100,92
0,validation,Liberal,43,152,101
0,validation,Neutral,18,28,58
1,train,Conservative,337,473,395
1,train,Liberal,256,819,330
1,train,Neutral,79,93,246
1,validation,Conservative,83,127,39
1,validation,Liberal,52,201,43
1,validation,Neutral,18,38,48
2,train,Conservative,653,382,170
2,train,Liberal,184,1166,55
2,train,Neutral,105,70,243
2,validation,Conservative,104,95,50
2,validation,Liberal,87,157,52
2,validation,Neutral,28,33,43
3,train,Conservative,979,123,103
3,train,Liberal,86,1302,17
3,train,Neutral,116,17,285
3,validation,Conservative,116,103,30
3,validation,Liberal,118,146,32
3,validation,Neutral,41,30,33
4,train,Conservative,1096,44,65
4,train,Liberal,33,1365,7
4,train,Neutral,56,8,354
4,validation,Conservative,125,95,29
4,validation,Liberal,107,157,32
4,validation,Neutral,38,31,35
-1,test,Conservative,128,84,35
-1,test,Liberal,123,167,34
-1,test,Neutral,33,20,25
