epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,527,246,432
0,train,Liberal,618,284,503
0,train,Neutral,159,92,167
0,validation,Conservative,104,53,92
0,validation,Liberal,154,61,81
0,validation,Neutral,34,24,46
1,train,Conservative,625,190,390
1,train,Liberal,728,250,427
1,train,Neutral,210,57,151
1,validation,Conservative,83,72,94
1,validation,Liberal,103,99,94
1,validation,Neutral,25,21,58
2,train,Conservative,494,240,471
2,train,Liberal,556,356,493
2,train,Neutral,165,71,182
2,validation,Conservative,77,77,95
2,validation,Liberal,90,113,93
2,validation,Neutral,24,21,59
3,train,Conservative,566,277,362
3,train,Liberal,640,377,388
3,train,Neutral,177,48,193
3,validation,Conservative,62,62,125
3,validation,Liberal,101,94,101
3,validation,Neutral,21,15,68
4,train,Conservative,632,225,348
4,train,Liberal,655,358,392
4,train,Neutral,203,38,177
4,validation,Conservative,86,69,94
4,validation,Liberal,108,92,96
4,validation,Neutral,21,15,68
-1,test,Conservative,88,59,100
-1,test,Liberal,117,93,114
-1,test,Neutral,23,13,42
