,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
50,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,5,2.353093147277832,0.5935140332233861,11,l1,3.0
51,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,5,2.856208086013794,0.6282300128131787,19,cosine,1.0
52,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,5,3.388014078140259,0.5975732827366221,14,cosine,2.0
53,src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,5,3.1813580989837646,0.6039410344310525,7,cosine,3.0
54,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,0,1.749845027923584,0.5059690764751231,10,l2,1.0
55,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,0,2.024714469909668,0.5364799345756177,19,l1,2.0
56,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,0,1.2727949619293213,0.5861456857455078,4,cosine,3.0
57,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,0,2.6474385261535645,0.5037276622878027,3,l2,1.0
58,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,0,2.2327210903167725,0.5163442114775288,1,l2,2.0
59,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,0,1.9200561046600344,0.5476430976430976,9,cosine,3.0
60,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,0,2.8533689975738525,0.5377521706679268,19,cosine,1.0
61,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,0,3.5240237712860107,0.4989701861916318,16,l2,2.0
62,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,0,3.78070592880249,0.5274902829250655,18,l2,3.0
63,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,1,1.367704153060913,0.5052389898807951,7,cosine,1.0
64,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,1,1.3646190166473389,0.5301607050892897,10,l2,2.0
65,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,1,1.3435657024383545,0.5629829959210816,11,cosine,3.0
66,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,1,2.6544151306152344,0.5073943580065993,10,l2,1.0
67,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,1,2.457598924636841,0.5557657911974966,19,l2,2.0
68,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,1,2.634752988815308,0.5094325159004734,4,cosine,3.0
69,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,1,3.7501840591430655,0.580744129493051,15,cosine,1.0
70,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,1,3.658937692642212,0.5047358121330724,8,cosine,2.0
71,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,1,4.165244817733765,0.557177760562541,6,cosine,3.0
72,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,2,1.6322414875030518,0.6113679334632552,5,l2,1.0
73,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,2,1.265683889389038,0.5073815073815074,8,l1,2.0
74,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,2,1.2087159156799316,0.5658096278154168,11,l1,3.0
75,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,2,3.529085874557495,0.6133819412722396,17,l2,1.0
76,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,2,2.608656883239746,0.5668152942789166,12,cosine,2.0
77,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,2,2.5759785175323486,0.6682840044727684,14,cosine,3.0
78,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,2,3.294125556945801,0.581329989464928,8,l2,1.0
79,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,2,3.461109399795532,0.5767004288208119,14,l1,2.0
80,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,2,4.709516525268555,0.6512024494699921,12,cosine,3.0
81,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,3,1.0398075580596924,0.6248734391405836,6,cosine,1.0
82,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,3,1.4614999294281006,0.5504633340012022,7,l1,2.0
83,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,3,1.2974767684936523,0.5801915473993416,15,cosine,3.0
84,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,3,2.428961038589477,0.6302176750452613,10,l1,1.0
85,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,3,2.430660009384156,0.5932806834994294,18,cosine,2.0
86,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,3,2.7450575828552246,0.639908920013768,19,l1,3.0
87,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,3,3.3449511528015137,0.5416875665708941,7,l2,1.0
88,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,3,4.213951110839844,0.5842920516236988,14,l1,2.0
89,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,3,4.05742621421814,0.6103483712995093,14,l2,3.0
90,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,4,1.624619483947754,0.586245408589817,5,l1,1.0
91,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,4,1.4642837047576904,0.6321228704445965,11,cosine,2.0
92,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,4,1.660297393798828,0.6538418423379344,16,l2,3.0
93,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,4,2.7245709896087646,0.6100971588729089,13,l1,1.0
94,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,4,2.6078405380249023,0.6784098384098384,11,l1,2.0
