,embedding_model,learning_rate,epoch,score,path,n_samples,iteration,time,measure,n_optim_iterations,optim,warmup_ratio,weight_decay,classifier
0,FacebookAI/roberta-base,1e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
1,FacebookAI/roberta-base,1e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
2,FacebookAI/roberta-base,1e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
3,FacebookAI/roberta-base,1e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
4,FacebookAI/roberta-base,1e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-1e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
5,FacebookAI/roberta-base,2e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-2e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
6,FacebookAI/roberta-base,2e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-2e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
7,FacebookAI/roberta-base,2e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-2e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
8,FacebookAI/roberta-base,2e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-2e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
9,FacebookAI/roberta-base,2e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-2e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
10,FacebookAI/roberta-base,5e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
11,FacebookAI/roberta-base,5e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
12,FacebookAI/roberta-base,5e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
13,FacebookAI/roberta-base,5e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-5e-05-data,Entraînement Hugging Face,1,-1,f1_macro,-1,adamw_torch,0.1,0.01,Baseline - HF Classifier
