path,n_samples,epoch,time,score,n_estimators,criterion,max_depth,iteration,embedding_model,learning_rate,classifier,weight_decay,warmup_ratio,optim,n_optim_iterations,measure,n_neighbors,metric,hidden_layer_sizes,max_iter,early_stopping
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,83.31332516670227,0.5529592986734656,410.0,log_loss,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,2,175.73476672172546,0.6132996632996633,960.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,272.0620939731598,0.5888629888629889,510.0,entropy,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,166.8495819568634,0.6133167473312997,510.0,log_loss,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,2,155.012065410614,0.5345631942106018,310.0,gini,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,2,238.3588080406189,0.6288167871875417,210.0,gini,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,2,453.7283208370209,0.6317481189276061,360.0,gini,90.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,2,341.8582456111908,0.6119733500865232,660.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,2,411.60316610336304,0.6356634332913058,360.0,entropy,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,2,482.8279745578766,0.5662890077327722,860.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,2,682.382472038269,0.637137723233385,310.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,3,128.3838312625885,0.56558229352347,210.0,gini,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,3,94.08972835540771,0.5581247692875599,110.0,gini,90.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,3,72.76914858818054,0.5737179487179488,210.0,log_loss,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,3,154.90354681015015,0.6101852376723416,60.0,log_loss,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,3,158.87753105163574,0.6284136424949662,610.0,gini,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,3,296.48992013931274,0.5137266163800338,260.0,entropy,90.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,3,295.9260528087616,0.627840351189219,160.0,gini,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,3,381.0400826931,0.5617382212457452,260.0,log_loss,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,3,230.11069345474243,0.533185109328958,160.0,entropy,90.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,3,334.01991391181946,0.6385835026487424,360.0,log_loss,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,3,403.5448460578919,0.599245380444378,260.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,3,458.7706677913666,0.6421248074514406,560.0,log_loss,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,4,65.97025156021118,0.5799164992713379,60.0,log_loss,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
