,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3299342105263158,0.49745065789473686,0.3299342105263158
1,0,validation,0.38707010582010576,0.5403025793650793,0.38707010582010576
2,1,train,0.3672368421052632,0.5254276315789473,0.3672368421052632
3,1,validation,0.3989748677248677,0.5492311507936508,0.3989748677248677
4,2,train,0.40013157894736845,0.5500986842105263,0.40013157894736845
5,2,validation,0.34771825396825395,0.5107886904761905,0.34771825396825395
6,3,train,0.40546052631578944,0.5540953947368421,0.40546052631578944
7,3,validation,0.40195105820105814,0.5514632936507936,0.40195105820105814
8,4,train,0.4033552631578948,0.5525164473684211,0.4033552631578948
9,4,validation,0.43320105820105814,0.5749007936507936,0.43320105820105814
10,-1,test,0.40195105820105814,0.5514632936507936,0.40195105820105814
