epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,313,479,413
0,train,Liberal,393,585,427
0,train,Neutral,93,163,162
0,validation,Conservative,24,103,122
0,validation,Liberal,33,139,124
0,validation,Neutral,13,26,65
1,train,Conservative,259,568,378
1,train,Liberal,268,758,379
1,train,Neutral,89,146,183
1,validation,Conservative,31,122,96
1,validation,Liberal,40,174,82
1,validation,Neutral,16,25,63
2,train,Conservative,337,599,269
2,train,Liberal,283,944,178
2,train,Neutral,94,158,166
2,validation,Conservative,67,113,69
2,validation,Liberal,66,172,58
2,validation,Neutral,21,23,60
3,train,Conservative,546,507,152
3,train,Liberal,305,1039,61
3,train,Neutral,165,96,157
3,validation,Conservative,68,131,50
3,validation,Liberal,59,180,57
3,validation,Neutral,24,23,57
4,train,Conservative,768,306,131
4,train,Liberal,246,1125,34
4,train,Neutral,194,58,166
4,validation,Conservative,86,131,32
4,validation,Liberal,87,178,31
4,validation,Neutral,33,28,43
-1,test,Conservative,89,115,43
-1,test,Liberal,98,195,31
-1,test,Neutral,23,33,22
