epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,391,169,645
0,train,Liberal,464,162,779
0,train,Neutral,106,51,261
0,validation,Conservative,63,78,108
0,validation,Liberal,92,84,120
0,validation,Neutral,14,12,78
1,train,Conservative,182,394,629
1,train,Liberal,217,498,690
1,train,Neutral,38,105,275
1,validation,Conservative,3,192,54
1,validation,Liberal,3,223,70
1,validation,Neutral,0,37,67
2,train,Conservative,219,810,176
2,train,Liberal,245,1020,140
2,train,Neutral,69,175,174
2,validation,Conservative,21,204,24
2,validation,Liberal,26,247,23
2,validation,Neutral,9,46,49
3,train,Conservative,255,809,141
3,train,Liberal,221,1049,135
3,train,Neutral,104,117,197
3,validation,Conservative,34,182,33
3,validation,Liberal,30,228,38
3,validation,Neutral,12,45,47
4,train,Conservative,255,870,80
4,train,Liberal,163,1204,38
4,train,Neutral,78,108,232
4,validation,Conservative,30,187,32
4,validation,Liberal,27,234,35
4,validation,Neutral,14,46,44
-1,test,Conservative,24,174,49
-1,test,Liberal,44,244,36
-1,test,Neutral,10,39,29
