epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,429,326,450
0,train,Liberal,489,433,483
0,train,Neutral,111,78,229
0,validation,Conservative,101,97,51
0,validation,Liberal,96,130,70
0,validation,Neutral,24,17,63
1,train,Conservative,722,306,177
1,train,Liberal,447,728,230
1,train,Neutral,92,73,253
1,validation,Conservative,133,89,27
1,validation,Liberal,109,155,32
1,validation,Neutral,30,31,43
2,train,Conservative,1020,151,34
2,train,Liberal,206,1134,65
2,train,Neutral,45,52,321
2,validation,Conservative,136,76,37
2,validation,Liberal,120,139,37
2,validation,Neutral,27,33,44
3,train,Conservative,1146,46,13
3,train,Liberal,80,1284,41
3,train,Neutral,16,27,375
3,validation,Conservative,112,115,22
3,validation,Liberal,79,192,25
3,validation,Neutral,23,46,35
4,train,Conservative,1174,23,8
4,train,Liberal,24,1356,25
4,train,Neutral,3,13,402
4,validation,Conservative,116,121,12
4,validation,Liberal,89,190,17
4,validation,Neutral,35,47,22
-1,test,Conservative,116,115,16
-1,test,Liberal,98,208,18
-1,test,Neutral,31,31,16
