epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,418,365,422
0,train,Liberal,469,460,476
0,train,Neutral,127,102,189
0,validation,Conservative,112,84,53
0,validation,Liberal,97,134,65
0,validation,Neutral,23,18,63
1,train,Conservative,576,392,237
1,train,Liberal,312,856,237
1,train,Neutral,80,85,253
1,validation,Conservative,119,105,25
1,validation,Liberal,86,178,32
1,validation,Neutral,29,30,45
2,train,Conservative,944,170,91
2,train,Liberal,155,1183,67
2,train,Neutral,52,40,326
2,validation,Conservative,135,100,14
2,validation,Liberal,101,181,14
2,validation,Neutral,41,36,27
3,train,Conservative,1128,52,25
3,train,Liberal,33,1347,25
3,train,Neutral,21,15,382
3,validation,Conservative,150,78,21
3,validation,Liberal,103,171,22
3,validation,Neutral,38,27,39
4,train,Conservative,1182,15,8
4,train,Liberal,19,1379,7
4,train,Neutral,5,11,402
4,validation,Conservative,183,44,22
4,validation,Liberal,161,99,36
4,validation,Neutral,51,14,39
-1,test,Conservative,169,47,31
-1,test,Liberal,181,103,40
-1,test,Neutral,44,11,23
