epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,394,423,388
0,train,Liberal,453,511,441
0,train,Neutral,149,132,137
0,validation,Conservative,83,93,73
0,validation,Liberal,90,113,93
0,validation,Neutral,37,19,48
1,train,Conservative,431,390,384
1,train,Liberal,442,530,433
1,train,Neutral,119,110,189
1,validation,Conservative,74,94,81
1,validation,Liberal,80,130,86
1,validation,Neutral,28,19,57
2,train,Conservative,399,409,397
2,train,Liberal,392,570,443
2,train,Neutral,108,90,220
2,validation,Conservative,67,93,89
2,validation,Liberal,81,130,85
2,validation,Neutral,22,20,62
3,train,Conservative,429,370,406
3,train,Liberal,374,622,409
3,train,Neutral,100,77,241
3,validation,Conservative,65,102,82
3,validation,Liberal,76,129,91
3,validation,Neutral,23,20,61
4,train,Conservative,420,376,409
4,train,Liberal,343,656,406
4,train,Neutral,82,73,263
4,validation,Conservative,68,97,84
4,validation,Liberal,71,136,89
4,validation,Neutral,20,20,64
-1,test,Conservative,68,82,97
-1,test,Liberal,75,144,105
-1,test,Neutral,10,23,45
