epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,362,580,263
0,train,Liberal,424,686,295
0,train,Neutral,97,187,134
0,validation,Conservative,3,208,38
0,validation,Liberal,3,244,49
0,validation,Neutral,3,49,52
1,train,Conservative,223,855,127
1,train,Liberal,228,1062,115
1,train,Neutral,38,283,97
1,validation,Conservative,167,55,27
1,validation,Liberal,158,99,39
1,validation,Neutral,45,13,46
2,train,Conservative,327,773,105
2,train,Liberal,317,992,96
2,train,Neutral,59,231,128
2,validation,Conservative,148,66,35
2,validation,Liberal,120,129,47
2,validation,Neutral,34,19,51
3,train,Conservative,391,713,101
3,train,Liberal,343,977,85
3,train,Neutral,34,217,167
3,validation,Conservative,91,135,23
3,validation,Liberal,57,206,33
3,validation,Neutral,22,35,47
4,train,Conservative,461,657,87
4,train,Liberal,236,1095,74
4,train,Neutral,18,216,184
4,validation,Conservative,120,105,24
4,validation,Liberal,92,170,34
4,validation,Neutral,32,31,41
-1,test,Conservative,110,101,36
-1,test,Liberal,116,178,30
-1,test,Neutral,20,26,32
