epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,364,431,410
0,train,Liberal,406,554,445
0,train,Neutral,107,106,205
0,validation,Conservative,76,114,59
0,validation,Liberal,87,154,55
0,validation,Neutral,16,26,62
1,train,Conservative,561,481,163
1,train,Liberal,361,896,148
1,train,Neutral,128,105,185
1,validation,Conservative,117,106,26
1,validation,Liberal,85,180,31
1,validation,Neutral,32,32,40
2,train,Conservative,893,224,88
2,train,Liberal,221,1126,58
2,train,Neutral,103,34,281
2,validation,Conservative,113,97,39
2,validation,Liberal,108,152,36
2,validation,Neutral,31,25,48
3,train,Conservative,1103,60,42
3,train,Liberal,79,1299,27
3,train,Neutral,40,14,364
3,validation,Conservative,152,72,25
3,validation,Liberal,122,150,24
3,validation,Neutral,49,28,27
4,train,Conservative,1153,28,24
4,train,Liberal,26,1350,29
4,train,Neutral,21,8,389
4,validation,Conservative,144,85,20
4,validation,Liberal,121,157,18
4,validation,Neutral,40,39,25
-1,test,Conservative,149,81,17
-1,test,Liberal,145,164,15
-1,test,Neutral,35,22,21
