epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,451,411,343
0,train,Liberal,451,565,389
0,train,Neutral,114,112,192
0,validation,Conservative,58,100,91
0,validation,Liberal,40,160,96
0,validation,Neutral,17,34,53
1,train,Conservative,548,469,188
1,train,Liberal,335,905,165
1,train,Neutral,95,111,212
1,validation,Conservative,108,112,29
1,validation,Liberal,85,170,41
1,validation,Neutral,32,32,40
2,train,Conservative,910,224,71
2,train,Liberal,210,1139,56
2,train,Neutral,87,50,281
2,validation,Conservative,129,81,39
2,validation,Liberal,117,141,38
2,validation,Neutral,34,28,42
3,train,Conservative,1094,68,43
3,train,Liberal,59,1318,28
3,train,Neutral,30,25,363
3,validation,Conservative,124,112,13
3,validation,Liberal,96,180,20
3,validation,Neutral,36,41,27
4,train,Conservative,1149,40,16
4,train,Liberal,35,1345,25
4,train,Neutral,7,13,398
4,validation,Conservative,142,85,22
4,validation,Liberal,137,142,17
4,validation,Neutral,48,31,25
-1,test,Conservative,148,71,28
-1,test,Liberal,139,163,22
-1,test,Neutral,41,19,18
