epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,136,646,423
0,train,Liberal,148,816,441
0,train,Neutral,59,199,160
0,validation,Conservative,17,204,28
0,validation,Liberal,7,248,41
0,validation,Neutral,5,50,49
1,train,Conservative,174,846,185
1,train,Liberal,145,1101,159
1,train,Neutral,84,192,142
1,validation,Conservative,12,219,18
1,validation,Liberal,11,260,25
1,validation,Neutral,7,64,33
2,train,Conservative,279,824,102
2,train,Liberal,128,1244,33
2,train,Neutral,90,133,195
2,validation,Conservative,49,186,14
2,validation,Liberal,37,241,18
2,validation,Neutral,24,44,36
3,train,Conservative,385,726,94
3,train,Liberal,119,1271,15
3,train,Neutral,99,94,225
3,validation,Conservative,46,177,26
3,validation,Liberal,33,239,24
3,validation,Neutral,29,42,33
4,train,Conservative,545,555,105
4,train,Liberal,63,1336,6
4,train,Neutral,84,79,255
4,validation,Conservative,95,120,34
4,validation,Liberal,87,182,27
4,validation,Neutral,40,29,35
-1,test,Conservative,88,117,42
-1,test,Liberal,93,201,30
-1,test,Neutral,31,22,25
