,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3469078947368421,0.5101809210526316,0.3469078947368421
1,0,validation,0.3700396825396825,0.5275297619047619,0.3700396825396825
2,1,train,0.3280921052631579,0.4960690789473684,0.3280921052631579
3,1,validation,0.34755291005291006,0.5106646825396826,0.34755291005291006
4,2,train,0.3294078947368421,0.4970559210526316,0.3294078947368421
5,2,validation,0.29036426536426535,0.46713789682539686,0.2865410052910053
6,3,train,0.31585526315789475,0.4868914473684211,0.31585526315789475
7,3,validation,0.3134028009028008,0.4818948412698412,0.30224867724867727
8,4,train,0.3313815789473684,0.4985361842105263,0.3313815789473684
9,4,validation,0.34303576207600794,0.4979745370370371,0.30605158730158727
10,-1,test,0.32688492063492064,0.49516369047619047,0.32688492063492064
