epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,170,137,111
0,train,Conservative,455,422,328
0,train,Liberal,490,523,392
0,validation,Neutral,66,16,22
0,validation,Conservative,95,72,82
0,validation,Liberal,102,79,115
1,train,Neutral,288,69,61
1,train,Conservative,459,437,309
1,train,Liberal,482,398,525
1,validation,Neutral,68,19,17
1,validation,Conservative,79,101,69
1,validation,Liberal,100,83,113
2,train,Neutral,304,62,52
2,train,Conservative,268,651,286
2,train,Liberal,297,393,715
2,validation,Neutral,49,29,26
2,validation,Conservative,30,126,93
2,validation,Liberal,33,106,157
3,train,Neutral,317,56,45
3,train,Conservative,101,901,203
3,train,Liberal,120,266,1019
3,validation,Neutral,39,31,34
3,validation,Conservative,27,132,90
3,validation,Liberal,30,110,156
4,train,Neutral,363,23,32
4,train,Conservative,35,1100,70
4,train,Liberal,53,109,1243
4,validation,Neutral,36,37,31
4,validation,Conservative,26,112,111
4,validation,Liberal,30,95,171
-1,test,Neutral,32,27,19
-1,test,Conservative,35,127,85
-1,test,Liberal,31,110,183
