epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,402,400,403
0,train,Liberal,469,508,428
0,train,Neutral,100,101,217
0,validation,Conservative,126,72,51
0,validation,Liberal,136,94,66
0,validation,Neutral,19,23,62
1,train,Conservative,561,523,121
1,train,Liberal,431,857,117
1,train,Neutral,88,132,198
1,validation,Conservative,75,161,13
1,validation,Liberal,56,218,22
1,validation,Neutral,26,40,38
2,train,Conservative,796,342,67
2,train,Liberal,284,1058,63
2,train,Neutral,65,90,263
2,validation,Conservative,97,126,26
2,validation,Liberal,75,200,21
2,validation,Neutral,23,42,39
3,train,Conservative,1043,119,43
3,train,Liberal,113,1245,47
3,train,Neutral,26,42,350
3,validation,Conservative,128,77,44
3,validation,Liberal,120,130,46
3,validation,Neutral,39,16,49
4,train,Conservative,1135,46,24
4,train,Liberal,47,1333,25
4,train,Neutral,16,30,372
4,validation,Conservative,150,80,19
4,validation,Liberal,150,127,19
4,validation,Neutral,48,29,27
-1,test,Conservative,157,71,19
-1,test,Liberal,153,147,24
-1,test,Neutral,40,18,20
