epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,414,423,368
0,train,Liberal,437,537,431
0,train,Neutral,101,115,202
0,validation,Conservative,88,73,88
0,validation,Liberal,81,115,100
0,validation,Neutral,20,12,72
1,train,Conservative,623,345,237
1,train,Liberal,386,794,225
1,train,Neutral,77,96,245
1,validation,Conservative,116,92,41
1,validation,Liberal,85,143,68
1,validation,Neutral,26,23,55
2,train,Conservative,960,173,72
2,train,Liberal,200,1133,72
2,train,Neutral,51,76,291
2,validation,Conservative,57,147,45
2,validation,Liberal,43,210,43
2,validation,Neutral,16,43,45
3,train,Conservative,1118,65,22
3,train,Liberal,52,1314,39
3,train,Neutral,21,37,360
3,validation,Conservative,109,111,29
3,validation,Liberal,86,185,25
3,validation,Neutral,23,40,41
4,train,Conservative,1171,26,8
4,train,Liberal,26,1357,22
4,train,Neutral,11,21,386
4,validation,Conservative,125,98,26
4,validation,Liberal,98,169,29
4,validation,Neutral,31,33,40
-1,test,Conservative,129,81,37
-1,test,Liberal,97,200,27
-1,test,Neutral,22,32,24
