epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,197,78,143
0,train,Conservative,525,294,386
0,train,Liberal,619,335,451
0,validation,Neutral,47,44,13
0,validation,Conservative,117,91,41
0,validation,Liberal,144,109,43
1,train,Neutral,116,60,242
1,train,Conservative,315,197,693
1,train,Liberal,320,216,869
1,validation,Neutral,35,69,0
1,validation,Conservative,64,185,0
1,validation,Liberal,74,222,0
2,train,Neutral,80,132,206
2,train,Conservative,208,388,609
2,train,Liberal,257,434,714
2,validation,Neutral,54,39,11
2,validation,Conservative,125,108,16
2,validation,Liberal,137,135,24
3,train,Neutral,70,151,197
3,train,Conservative,192,444,569
3,train,Liberal,218,489,698
3,validation,Neutral,73,25,6
3,validation,Conservative,175,58,16
3,validation,Liberal,213,71,12
4,train,Neutral,102,114,202
4,train,Conservative,270,327,608
4,train,Liberal,327,358,720
4,validation,Neutral,91,12,1
4,validation,Conservative,190,44,15
4,validation,Liberal,225,58,13
-1,test,Neutral,63,13,2
-1,test,Conservative,191,48,8
-1,test,Liberal,260,58,6
