epoch,loop,f1,roc_auc,accuracy
0,train,0.31109643328929987,0.4833223249669749,0.31109643328929987
0,validation,0.5056285178236398,0.551617873651772,0.06779661016949153
1,train,0.3903566710700132,0.54276750330251,0.3903566710700132
1,validation,0.5414258188824663,0.599768875192604,0.01694915254237288
2,train,0.3903566710700132,0.54276750330251,0.3903566710700132
2,validation,0.4443231441048035,0.514637904468413,0.15408320493066255
3,train,0.4002642007926024,0.5501981505944519,0.4002642007926024
3,validation,0.42727272727272725,0.4761171032357473,0.10939907550077041
4,train,0.3794583883751651,0.5345937912813737,0.3794583883751651
4,validation,0.5123762376237624,0.5338983050847458,0.020030816640986132
-1,test,0.511665984445354,0.5312018489984592,0.009244992295839754
