epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,373,420,412
0,train,Liberal,401,608,396
0,train,Neutral,95,106,217
0,validation,Conservative,67,155,27
0,validation,Liberal,69,193,34
0,validation,Neutral,26,33,45
1,train,Conservative,586,493,126
1,train,Liberal,394,883,128
1,train,Neutral,98,104,216
1,validation,Conservative,89,82,78
1,validation,Liberal,62,140,94
1,validation,Neutral,11,22,71
2,train,Conservative,883,239,83
2,train,Liberal,286,1047,72
2,train,Neutral,76,63,279
2,validation,Conservative,96,125,28
2,validation,Liberal,63,195,38
2,validation,Neutral,23,33,48
3,train,Conservative,1038,114,53
3,train,Liberal,94,1253,58
3,train,Neutral,47,37,334
3,validation,Conservative,106,113,30
3,validation,Liberal,82,182,32
3,validation,Neutral,22,32,50
4,train,Conservative,1141,43,21
4,train,Liberal,38,1327,40
4,train,Neutral,14,23,381
4,validation,Conservative,174,59,16
4,validation,Liberal,168,106,22
4,validation,Neutral,47,22,35
-1,test,Conservative,171,50,26
-1,test,Liberal,181,120,23
-1,test,Neutral,43,12,23
