epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,336,484,385
0,train,Liberal,386,579,440
0,train,Neutral,109,163,146
0,validation,Conservative,76,97,76
0,validation,Liberal,87,117,92
0,validation,Neutral,39,25,40
1,train,Conservative,337,466,402
1,train,Liberal,336,614,455
1,train,Neutral,92,147,179
1,validation,Conservative,73,98,78
1,validation,Liberal,77,124,95
1,validation,Neutral,33,21,50
2,train,Conservative,346,461,398
2,train,Liberal,342,609,454
2,train,Neutral,99,145,174
2,validation,Conservative,80,94,75
2,validation,Liberal,85,129,82
2,validation,Neutral,32,20,52
3,train,Conservative,309,481,415
3,train,Liberal,319,686,400
3,train,Neutral,102,137,179
3,validation,Conservative,77,101,71
3,validation,Liberal,84,129,83
3,validation,Neutral,31,21,52
4,train,Conservative,364,428,413
4,train,Liberal,301,706,398
4,train,Neutral,108,115,195
4,validation,Conservative,77,96,76
4,validation,Liberal,74,131,91
4,validation,Neutral,27,21,56
-1,test,Conservative,74,85,88
-1,test,Liberal,85,135,104
-1,test,Neutral,15,24,39
