epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,133,125,160
0,train,Conservative,382,380,443
0,train,Liberal,422,483,500
0,validation,Neutral,51,26,27
0,validation,Conservative,118,62,69
0,validation,Liberal,137,76,83
1,train,Neutral,154,67,197
1,train,Conservative,448,198,559
1,train,Liberal,525,254,626
1,validation,Neutral,71,11,22
1,validation,Conservative,153,51,45
1,validation,Liberal,202,49,45
2,train,Neutral,185,45,188
2,train,Conservative,512,127,566
2,train,Liberal,592,160,653
2,validation,Neutral,68,25,11
2,validation,Conservative,172,61,16
2,validation,Liberal,185,86,25
3,train,Neutral,142,61,215
3,train,Conservative,433,189,583
3,train,Liberal,516,218,671
3,validation,Neutral,61,16,27
3,validation,Conservative,166,34,49
3,validation,Liberal,185,56,55
4,train,Neutral,184,78,156
4,train,Conservative,514,250,441
4,train,Liberal,608,284,513
4,validation,Neutral,79,21,4
4,validation,Conservative,161,77,11
4,validation,Liberal,183,97,16
-1,test,Neutral,56,19,3
-1,test,Conservative,189,50,8
-1,test,Liberal,216,83,25
