epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,510,320,375
0,train,Liberal,546,379,480
0,train,Neutral,172,97,149
0,validation,Conservative,132,90,27
0,validation,Liberal,133,127,36
0,validation,Neutral,37,44,23
1,train,Conservative,558,364,283
1,train,Liberal,417,617,371
1,train,Neutral,106,141,171
1,validation,Conservative,113,47,89
1,validation,Liberal,111,70,115
1,validation,Neutral,25,17,62
2,train,Conservative,772,147,286
2,train,Liberal,229,503,673
2,train,Neutral,63,97,258
2,validation,Conservative,142,55,52
2,validation,Liberal,134,75,87
2,validation,Neutral,34,11,59
3,train,Conservative,944,81,180
3,train,Liberal,86,638,681
3,train,Neutral,23,66,329
3,validation,Conservative,143,54,52
3,validation,Liberal,117,105,74
3,validation,Neutral,40,12,52
4,train,Conservative,990,58,157
4,train,Liberal,29,766,610
4,train,Neutral,9,55,354
4,validation,Conservative,105,94,50
4,validation,Liberal,82,136,78
4,validation,Neutral,30,19,55
-1,test,Conservative,93,88,66
-1,test,Liberal,82,141,101
-1,test,Neutral,23,19,36
