epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,332,169,704
0,train,Liberal,361,192,852
0,train,Neutral,112,64,242
0,validation,Conservative,147,1,101
0,validation,Liberal,167,0,129
0,validation,Neutral,51,0,53
1,train,Conservative,595,41,569
1,train,Liberal,604,61,740
1,train,Neutral,172,13,233
1,validation,Conservative,143,7,99
1,validation,Liberal,162,14,120
1,validation,Neutral,41,3,60
2,train,Conservative,641,146,418
2,train,Liberal,560,304,541
2,train,Neutral,140,57,221
2,validation,Conservative,98,73,78
2,validation,Liberal,75,117,104
2,validation,Neutral,31,15,58
3,train,Conservative,703,186,316
3,train,Liberal,478,474,453
3,train,Neutral,79,56,283
3,validation,Conservative,119,87,43
3,validation,Liberal,93,146,57
3,validation,Neutral,30,28,46
4,train,Conservative,705,269,231
4,train,Liberal,190,788,427
4,train,Neutral,26,53,339
4,validation,Conservative,81,131,37
4,validation,Liberal,69,179,48
4,validation,Neutral,30,30,44
-1,test,Conservative,96,104,47
-1,test,Liberal,79,201,44
-1,test,Neutral,18,30,30
