epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,420,371,414
0,train,Liberal,437,483,485
0,train,Neutral,115,137,166
0,validation,Conservative,72,79,98
0,validation,Liberal,94,109,93
0,validation,Neutral,27,22,55
1,train,Conservative,424,375,406
1,train,Liberal,356,637,412
1,train,Neutral,82,83,253
1,validation,Conservative,72,96,81
1,validation,Liberal,67,138,91
1,validation,Neutral,13,25,66
2,train,Conservative,493,351,361
2,train,Liberal,304,833,268
2,train,Neutral,69,62,287
2,validation,Conservative,78,107,64
2,validation,Liberal,73,153,70
2,validation,Neutral,20,26,58
3,train,Conservative,671,270,264
3,train,Liberal,211,1103,91
3,train,Neutral,59,45,314
3,validation,Conservative,86,137,26
3,validation,Liberal,76,180,40
3,validation,Neutral,22,46,36
4,train,Conservative,929,119,157
4,train,Liberal,72,1315,18
4,train,Neutral,83,12,323
4,validation,Conservative,109,123,17
4,validation,Liberal,89,175,32
4,validation,Neutral,36,38,30
-1,test,Conservative,99,113,35
-1,test,Liberal,98,194,32
-1,test,Neutral,23,29,26
