epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,145,113,160
0,train,Conservative,450,274,481
0,train,Liberal,501,348,556
0,validation,Neutral,104,0,0
0,validation,Conservative,249,0,0
0,validation,Liberal,296,0,0
1,train,Neutral,180,114,124
1,train,Conservative,482,316,407
1,train,Liberal,581,361,463
1,validation,Neutral,104,0,0
1,validation,Conservative,249,0,0
1,validation,Liberal,296,0,0
2,train,Neutral,142,167,109
2,train,Conservative,431,477,297
2,train,Liberal,499,532,374
2,validation,Neutral,104,0,0
2,validation,Conservative,249,0,0
2,validation,Liberal,296,0,0
3,train,Neutral,198,45,175
3,train,Conservative,545,122,538
3,train,Liberal,635,167,603
3,validation,Neutral,104,0,0
3,validation,Conservative,249,0,0
3,validation,Liberal,296,0,0
4,train,Neutral,214,0,204
4,train,Conservative,580,0,625
4,train,Liberal,672,0,733
4,validation,Neutral,104,0,0
4,validation,Conservative,249,0,0
4,validation,Liberal,296,0,0
-1,test,Neutral,78,0,0
-1,test,Conservative,247,0,0
-1,test,Liberal,324,0,0
