epoch,loop,f1,roc_auc,accuracy
0,train,0.32199471598414797,0.49149603698811106,0.32199471598414797
0,validation,0.5,0.5,0.0
1,train,0.3167107001321004,0.4875330250990753,0.3167107001321004
1,validation,0.5,0.5,0.0
2,train,0.32793923381770146,0.49595442536327605,0.32793923381770146
2,validation,0.5,0.5,0.0
3,train,0.30482166446499337,0.47861624834874494,0.30482166446499337
3,validation,0.5,0.5,0.0
4,train,0.3127476882430647,0.4845607661822985,0.3127476882430647
4,validation,0.5,0.5,0.0
-1,test,0.5,0.5,0.0
