epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,427,522,256
0,train,Liberal,452,634,319
0,train,Neutral,149,172,97
0,validation,Conservative,106,82,61
0,validation,Liberal,95,131,70
0,validation,Neutral,35,30,39
1,train,Conservative,240,763,202
1,train,Liberal,242,924,239
1,train,Neutral,74,241,103
1,validation,Conservative,210,20,19
1,validation,Liberal,241,28,27
1,validation,Neutral,58,18,28
2,train,Conservative,293,744,168
2,train,Liberal,268,952,185
2,train,Neutral,54,247,117
2,validation,Conservative,27,154,68
2,validation,Liberal,20,196,80
2,validation,Neutral,13,35,56
3,train,Conservative,470,651,84
3,train,Liberal,333,964,108
3,train,Neutral,93,238,87
3,validation,Conservative,112,102,35
3,validation,Liberal,99,156,41
3,validation,Neutral,28,30,46
4,train,Conservative,685,473,47
4,train,Liberal,333,999,73
4,train,Neutral,94,225,99
4,validation,Conservative,102,94,53
4,validation,Liberal,85,153,58
4,validation,Neutral,28,29,47
-1,test,Conservative,117,81,49
-1,test,Liberal,75,168,81
-1,test,Neutral,19,26,33
