epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,396,393,416
0,train,Liberal,434,523,448
0,train,Neutral,143,94,181
0,validation,Conservative,78,84,87
0,validation,Liberal,69,127,100
0,validation,Neutral,21,17,66
1,train,Conservative,476,299,430
1,train,Liberal,374,579,452
1,train,Neutral,77,58,283
1,validation,Conservative,97,85,67
1,validation,Liberal,77,132,87
1,validation,Neutral,22,19,63
2,train,Conservative,651,284,270
2,train,Liberal,333,794,278
2,train,Neutral,61,42,315
2,validation,Conservative,117,74,58
2,validation,Liberal,82,149,65
2,validation,Neutral,26,17,61
3,train,Conservative,912,169,124
3,train,Liberal,190,1078,137
3,train,Neutral,43,37,338
3,validation,Conservative,124,84,41
3,validation,Liberal,102,161,33
3,validation,Neutral,33,25,46
4,train,Conservative,1097,62,46
4,train,Liberal,73,1249,83
4,train,Neutral,27,24,367
4,validation,Conservative,135,92,22
4,validation,Liberal,117,152,27
4,validation,Neutral,39,32,33
-1,test,Conservative,138,81,28
-1,test,Liberal,128,166,30
-1,test,Neutral,37,22,19
