,epoch,loop,f1,roc_auc,accuracy
0,0,train,0.3407236842105263,0.5055427631578947,0.3407236842105263
1,0,validation,0.33647486772486773,0.5023561507936508,0.33647486772486773
2,1,train,0.3276973684210526,0.4957730263157895,0.3276973684210526
3,1,validation,0.3170889295889296,0.4875992063492064,0.3158068783068783
4,2,train,0.3340789473684211,0.5005592105263158,0.3340789473684211
5,2,validation,0.3011386639676113,0.47499173280423285,0.29348544973544977
6,3,train,0.3320394736842105,0.49902960526315787,0.3320394736842105
7,3,validation,0.2997084268686728,0.46164021164021163,0.24966931216931215
8,4,train,0.3417763157894737,0.5063322368421053,0.3417763157894737
9,4,validation,0.418761238524781,0.5036789021164021,0.1549272486772487
10,-1,test,0.32523148148148145,0.49392361111111116,0.32523148148148145
