mode,epoch,iteration_time,loss,f1,roc_auc,accuracy
train,0,9.50407600402832,0.0086583790026213,0.0050526315789473685,0.005016447368421053,0.0
train,1,8.699404954910278,0.007311725616455078,0.0,0.005263157894736842,0.0
validation,0,2.9632139205932617,0.03310310272943406,0.0,0.023809523809523808,0.0
validation,1,2.9819960594177246,0.03301086028416952,0.0,0.023809523809523808,0.0
