err,generation,time,N_dims,n_population_ratio,n_population,num_parents_mating_ratio,num_parents_mating,elitism_ratio,n_elitism,seed,passing,counter
0.06357179097948061,205,0.12858033180236816,5,0.2,5,0.2,2,1.0,2,42,"[True, True, True]",225
0.12614033582206657,164,0.10653805732727051,5,0.2,5,0.2,2,1.0,2,18,"[True, True, True]",184
0.07631991024402028,204,0.12773680686950684,5,0.2,5,0.2,2,1.0,2,2306406,"[True, True, True]",224
0.06278937572381167,184,0.11636853218078613,5,0.2,5,0.2,2,1.0,2,98,"[True, True, True]",204
0.15614384083995728,144,0.09412002563476562,5,0.2,5,0.2,2,1.0,2,12471,"[True, True, True]",164
0.03209111208823007,144,0.09342789649963379,5,0.2,5,0.2,2,1.0,2,41274,"[True, True, True]",164
0.09713901478758084,183,0.1157991886138916,5,0.2,5,0.2,2,1.0,2,5328,"[True, True, True]",203
0.1217436745481287,135,0.08858394622802734,5,0.2,5,0.2,2,1.0,2,1247,"[True, True, True]",155
0.0922802530005572,156,0.10680532455444336,5,0.2,5,0.2,2,1.0,2,125732,"[True, True, True]",176
0.016053828981637507,251,0.15444111824035645,5,0.2,5,0.2,2,1.0,2,31253,"[True, True, True]",271
0.029759805099572226,218,0.13171744346618652,5,0.2,5,0.5,2,0.0,0,42,"[True, True, True]",238
0.09073759202582406,172,0.10714840888977051,5,0.2,5,0.5,2,0.0,0,18,"[True, True, True]",192
0.048180042162271564,211,0.12825322151184082,5,0.2,5,0.5,2,0.0,0,2306406,"[True, True, True]",231
0.14926362732250617,129,0.08304667472839355,5,0.2,5,0.5,2,0.0,0,98,"[True, True, True]",149
0.14951193353231537,119,0.07722616195678711,5,0.2,5,0.5,2,0.0,0,12471,"[True, True, True]",139
0.06097546558568043,170,0.11517071723937988,5,0.2,5,0.5,2,0.0,0,41274,"[True, True, True]",190
0.06670881578843989,192,0.1275629997253418,5,0.2,5,0.5,2,0.0,0,5328,"[True, True, True]",212
0.12735687138993035,144,0.09193921089172363,5,0.2,5,0.5,2,0.0,0,1247,"[True, True, True]",164
0.11638527844569127,198,0.12074899673461914,5,0.2,5,0.5,2,0.0,0,125732,"[True, True, True]",218
0.09177737328542594,140,0.0894021987915039,5,0.2,5,0.5,2,0.0,0,31253,"[True, True, True]",160
0.021670957792476183,166,0.1331641674041748,5,0.2,5,0.5,2,0.5,1,42,"[True, True, True]",186
0.06985502501651518,206,0.168532133102417,5,0.2,5,0.5,2,0.5,1,18,"[True, True, True]",226
0.06827914067477221,150,0.12106037139892578,5,0.2,5,0.5,2,0.5,1,2306406,"[True, True, True]",170
0.014871114808690663,183,0.15665864944458008,5,0.2,5,0.5,2,0.5,1,98,"[True, True, True]",203
0.06635811658406798,137,0.12342953681945801,5,0.2,5,0.5,2,0.5,1,12471,"[True, True, True]",157
0.1070805362089612,171,0.1429424285888672,5,0.2,5,0.5,2,0.5,1,41274,"[True, True, True]",191
0.0631345866166447,133,0.11026406288146973,5,0.2,5,0.5,2,0.5,1,5328,"[True, True, True]",153
0.10934144046784729,129,0.10641789436340332,5,0.2,5,0.5,2,0.5,1,1247,"[True, True, True]",149
0.03819404601247083,154,0.12444067001342773,5,0.2,5,0.5,2,0.5,1,125732,"[True, True, True]",174
0.1439475792075693,189,0.15157270431518555,5,0.2,5,0.5,2,0.5,1,31253,"[True, True, True]",209
0.06357179097948061,205,0.13730573654174805,5,0.2,5,0.5,2,1.0,2,42,"[True, True, True]",225
0.12614033582206657,164,0.1053619384765625,5,0.2,5,0.5,2,1.0,2,18,"[True, True, True]",184
0.07631991024402028,204,0.12764263153076172,5,0.2,5,0.5,2,1.0,2,2306406,"[True, True, True]",224
0.06278937572381167,184,0.12732934951782227,5,0.2,5,0.5,2,1.0,2,98,"[True, True, True]",204
0.15614384083995728,144,0.09447002410888672,5,0.2,5,0.5,2,1.0,2,12471,"[True, True, True]",164
0.03209111208823007,144,0.0943748950958252,5,0.2,5,0.5,2,1.0,2,41274,"[True, True, True]",164
0.09713901478758084,183,0.11640334129333496,5,0.2,5,0.5,2,1.0,2,5328,"[True, True, True]",203
0.1217436745481287,135,0.08962488174438477,5,0.2,5,0.5,2,1.0,2,1247,"[True, True, True]",155
0.0922802530005572,156,0.10067915916442871,5,0.2,5,0.5,2,1.0,2,125732,"[True, True, True]",176
0.016053828981637507,251,0.15897274017333984,5,0.2,5,0.5,2,1.0,2,31253,"[True, True, True]",271
0.029759805099572226,218,0.1338822841644287,5,0.5,5,0.1,2,0.0,0,42,"[True, True, True]",238
0.09073759202582406,172,0.10738158226013184,5,0.5,5,0.1,2,0.0,0,18,"[True, True, True]",192
0.048180042162271564,211,0.1462557315826416,5,0.5,5,0.1,2,0.0,0,2306406,"[True, True, True]",231
0.14926362732250617,129,0.08685064315795898,5,0.5,5,0.1,2,0.0,0,98,"[True, True, True]",149
0.14951193353231537,119,0.07986187934875488,5,0.5,5,0.1,2,0.0,0,12471,"[True, True, True]",139
0.06097546558568043,170,0.11034011840820312,5,0.5,5,0.1,2,0.0,0,41274,"[True, True, True]",190
0.06670881578843989,192,0.12683773040771484,5,0.5,5,0.1,2,0.0,0,5328,"[True, True, True]",212
0.12735687138993035,144,0.09464788436889648,5,0.5,5,0.1,2,0.0,0,1247,"[True, True, True]",164
0.11638527844569127,198,0.12316441535949707,5,0.5,5,0.1,2,0.0,0,125732,"[True, True, True]",218
0.09177737328542594,140,0.08925795555114746,5,0.5,5,0.1,2,0.0,0,31253,"[True, True, True]",160
0.021670957792476183,166,0.14168691635131836,5,0.5,5,0.1,2,0.5,1,42,"[True, True, True]",186
0.06985502501651518,206,0.16244769096374512,5,0.5,5,0.1,2,0.5,1,18,"[True, True, True]",226
0.06827914067477221,150,0.12212705612182617,5,0.5,5,0.1,2,0.5,1,2306406,"[True, True, True]",170
0.014871114808690663,183,0.15511608123779297,5,0.5,5,0.1,2,0.5,1,98,"[True, True, True]",203
0.06635811658406798,137,0.1126251220703125,5,0.5,5,0.1,2,0.5,1,12471,"[True, True, True]",157
0.1070805362089612,171,0.13700580596923828,5,0.5,5,0.1,2,0.5,1,41274,"[True, True, True]",191
0.0631345866166447,133,0.11831116676330566,5,0.5,5,0.1,2,0.5,1,5328,"[True, True, True]",153
0.10934144046784729,129,0.10734772682189941,5,0.5,5,0.1,2,0.5,1,1247,"[True, True, True]",149
0.03819404601247083,154,0.13155889511108398,5,0.5,5,0.1,2,0.5,1,125732,"[True, True, True]",174
0.1439475792075693,189,0.15541839599609375,5,0.5,5,0.1,2,0.5,1,31253,"[True, True, True]",209
0.06357179097948061,205,0.13435077667236328,5,0.5,5,0.1,2,1.0,2,42,"[True, True, True]",225
0.12614033582206657,164,0.10640573501586914,5,0.5,5,0.1,2,1.0,2,18,"[True, True, True]",184
0.07631991024402028,204,0.13135719299316406,5,0.5,5,0.1,2,1.0,2,2306406,"[True, True, True]",224
0.06278937572381167,184,0.12038469314575195,5,0.5,5,0.1,2,1.0,2,98,"[True, True, True]",204
0.15614384083995728,144,0.09929037094116211,5,0.5,5,0.1,2,1.0,2,12471,"[True, True, True]",164
0.03209111208823007,144,0.10491132736206055,5,0.5,5,0.1,2,1.0,2,41274,"[True, True, True]",164
0.09713901478758084,183,0.12242674827575684,5,0.5,5,0.1,2,1.0,2,5328,"[True, True, True]",203
0.1217436745481287,135,0.09162449836730957,5,0.5,5,0.1,2,1.0,2,1247,"[True, True, True]",155
0.0922802530005572,156,0.10471105575561523,5,0.5,5,0.1,2,1.0,2,125732,"[True, True, True]",176
0.016053828981637507,251,0.16254925727844238,5,0.5,5,0.1,2,1.0,2,31253,"[True, True, True]",271
0.029759805099572226,218,0.14258980751037598,5,0.5,5,0.2,2,0.0,0,42,"[True, True, True]",238
0.09073759202582406,172,0.11071395874023438,5,0.5,5,0.2,2,0.0,0,18,"[True, True, True]",192
0.048180042162271564,211,0.12936735153198242,5,0.5,5,0.2,2,0.0,0,2306406,"[True, True, True]",231
0.14926362732250617,129,0.0839395523071289,5,0.5,5,0.2,2,0.0,0,98,"[True, True, True]",149
0.14951193353231537,119,0.08568286895751953,5,0.5,5,0.2,2,0.0,0,12471,"[True, True, True]",139
0.06097546558568043,170,0.1089484691619873,5,0.5,5,0.2,2,0.0,0,41274,"[True, True, True]",190
0.06670881578843989,192,0.12112808227539062,5,0.5,5,0.2,2,0.0,0,5328,"[True, True, True]",212
0.12735687138993035,144,0.0927879810333252,5,0.5,5,0.2,2,0.0,0,1247,"[True, True, True]",164
0.11638527844569127,198,0.12271261215209961,5,0.5,5,0.2,2,0.0,0,125732,"[True, True, True]",218
0.09177737328542594,140,0.09466767311096191,5,0.5,5,0.2,2,0.0,0,31253,"[True, True, True]",160
0.021670957792476183,166,0.13254737854003906,5,0.5,5,0.2,2,0.5,1,42,"[True, True, True]",186
0.06985502501651518,206,0.16173458099365234,5,0.5,5,0.2,2,0.5,1,18,"[True, True, True]",226
0.06827914067477221,150,0.12143325805664062,5,0.5,5,0.2,2,0.5,1,2306406,"[True, True, True]",170
0.014871114808690663,183,0.17818880081176758,5,0.5,5,0.2,2,0.5,1,98,"[True, True, True]",203
0.06635811658406798,137,0.11314153671264648,5,0.5,5,0.2,2,0.5,1,12471,"[True, True, True]",157
0.1070805362089612,171,0.14046239852905273,5,0.5,5,0.2,2,0.5,1,41274,"[True, True, True]",191
0.0631345866166447,133,0.10951972007751465,5,0.5,5,0.2,2,0.5,1,5328,"[True, True, True]",153
0.10934144046784729,129,0.10730242729187012,5,0.5,5,0.2,2,0.5,1,1247,"[True, True, True]",149
0.03819404601247083,154,0.12473225593566895,5,0.5,5,0.2,2,0.5,1,125732,"[True, True, True]",174
0.1439475792075693,189,0.15493297576904297,5,0.5,5,0.2,2,0.5,1,31253,"[True, True, True]",209
0.06357179097948061,205,0.13051390647888184,5,0.5,5,0.2,2,1.0,2,42,"[True, True, True]",225
0.12614033582206657,164,0.1133115291595459,5,0.5,5,0.2,2,1.0,2,18,"[True, True, True]",184
0.07631991024402028,204,0.1860184669494629,5,0.5,5,0.2,2,1.0,2,2306406,"[True, True, True]",224
0.06278937572381167,184,0.11708521842956543,5,0.5,5,0.2,2,1.0,2,98,"[True, True, True]",204
0.15614384083995728,144,0.09497213363647461,5,0.5,5,0.2,2,1.0,2,12471,"[True, True, True]",164
0.03209111208823007,144,0.09361481666564941,5,0.5,5,0.2,2,1.0,2,41274,"[True, True, True]",164
0.09713901478758084,183,0.11705470085144043,5,0.5,5,0.2,2,1.0,2,5328,"[True, True, True]",203
0.1217436745481287,135,0.08905935287475586,5,0.5,5,0.2,2,1.0,2,1247,"[True, True, True]",155
0.0922802530005572,156,0.10098743438720703,5,0.5,5,0.2,2,1.0,2,125732,"[True, True, True]",176
0.016053828981637507,251,0.17246580123901367,5,0.5,5,0.2,2,1.0,2,31253,"[True, True, True]",271
0.029759805099572226,218,0.13373422622680664,5,0.5,5,0.5,2,0.0,0,42,"[True, True, True]",238
0.09073759202582406,172,0.10813069343566895,5,0.5,5,0.5,2,0.0,0,18,"[True, True, True]",192
0.048180042162271564,211,0.1290600299835205,5,0.5,5,0.5,2,0.0,0,2306406,"[True, True, True]",231
0.14926362732250617,129,0.09279966354370117,5,0.5,5,0.5,2,0.0,0,98,"[True, True, True]",149
