err,generation,opt_grasped,time,N_dims,n_population_ratio,n_population,num_parents_mating_ratio,num_parents_mating,elitism_ratio,n_elitism,seed,passing,counter
0.9461942700073556,2.0,0.0,0.0387418270111084,1,0.2,5,0.2,2,0.5,1,5328,"[True, True, True]",22
2.209812445556979,10.0,2.0,0.05232501029968262,1,0.2,5,0.2,2,0.5,1,1247,"[True, True, True]",30
0.6814911924658658,8.0,0.0,0.04964947700500488,1,0.2,5,0.2,2,0.5,1,125732,"[True, True, True]",28
3.358779341572167,36.0,1.0,0.1080474853515625,1,0.2,5,0.2,2,0.5,1,31253,"[True, True, True]",56
3.5744377566703998,20.0,1.0,0.053940534591674805,1,0.2,5,0.2,2,1.0,2,42,"[True, True, True]",40
0.36131017270413546,38.0,0.0,0.07684803009033203,1,0.2,5,0.2,2,1.0,2,18,"[True, True, True]",58
0.3244443056927473,40.0,0.0,0.08054804801940918,1,0.2,5,0.2,2,1.0,2,2306406,"[True, True, True]",60
0.3299120076379829,11.0,0.0,0.042047739028930664,1,0.2,5,0.2,2,1.0,2,98,"[True, True, True]",31
2.576123770715241,20.0,2.0,0.05541348457336426,1,0.2,5,0.2,2,1.0,2,12471,"[True, True, True]",40
4.467882234770341,5.0,2.0,0.03440117835998535,1,0.2,5,0.2,2,1.0,2,41274,"[True, True, True]",25
2.1655401953004825,14.0,0.0,0.04617810249328613,1,0.2,5,0.2,2,1.0,2,5328,"[True, True, True]",34
2.4520289519145386,30.0,0.0,0.07011175155639648,1,0.2,5,0.2,2,1.0,2,1247,"[True, True, True]",50
4.646830399399341,23.0,2.0,0.05811643600463867,1,0.2,5,0.2,2,1.0,2,125732,"[True, True, True]",43
2.058550230134043,25.0,2.0,0.07402348518371582,1,0.2,5,0.2,2,1.0,2,31253,"[True, True, True]",45
2.106343170925695,20.0,1.0,0.052849531173706055,1,0.2,5,0.5,2,0.0,0,42,"[True, True, True]",40
0.36131017270413546,38.0,0.0,0.07627367973327637,1,0.2,5,0.5,2,0.0,0,18,"[True, True, True]",58
0.3244443056927473,40.0,0.0,0.08371639251708984,1,0.2,5,0.5,2,0.0,0,2306406,"[True, True, True]",60
3.9715241749684367,11.0,2.0,0.04153609275817871,1,0.2,5,0.5,2,0.0,0,98,"[True, True, True]",31
2.576123770715241,20.0,2.0,0.05304121971130371,1,0.2,5,0.5,2,0.0,0,12471,"[True, True, True]",40
4.467882234770341,5.0,2.0,0.033698081970214844,1,0.2,5,0.5,2,0.0,0,41274,"[True, True, True]",25
2.1655401953004825,14.0,0.0,0.04509139060974121,1,0.2,5,0.5,2,0.0,0,5328,"[True, True, True]",34
2.4520289519145386,30.0,0.0,0.0653538703918457,1,0.2,5,0.5,2,0.0,0,1247,"[True, True, True]",50
4.646830399399341,23.0,2.0,0.05649542808532715,1,0.2,5,0.5,2,0.0,0,125732,"[True, True, True]",43
2.058550230134043,25.0,2.0,0.06024789810180664,1,0.2,5,0.5,2,0.0,0,31253,"[True, True, True]",45
2.0534108776288917,15.0,1.0,0.060596466064453125,1,0.2,5,0.5,2,0.5,1,42,"[True, True, True]",35
0.45785985990010225,8.0,0.0,0.04877328872680664,1,0.2,5,0.5,2,0.5,1,18,"[True, True, True]",28
2.8550236410163885,30.0,1.0,0.09124231338500977,1,0.2,5,0.5,2,0.5,1,2306406,"[True, True, True]",50
2.3562946698723586,6.0,2.0,0.05716538429260254,1,0.2,5,0.5,2,0.5,1,98,"[True, True, True]",26
4.267908588373238,17.0,2.0,0.06449484825134277,1,0.2,5,0.5,2,0.5,1,12471,"[True, True, True]",37
0.32050145238957883,18.0,1.0,0.06517267227172852,1,0.2,5,0.5,2,0.5,1,41274,"[True, True, True]",38
0.9461942700073556,2.0,0.0,0.038758039474487305,1,0.2,5,0.5,2,0.5,1,5328,"[True, True, True]",22
2.209812445556979,10.0,2.0,0.051833391189575195,1,0.2,5,0.5,2,0.5,1,1247,"[True, True, True]",30
0.6814911924658658,8.0,0.0,0.0485231876373291,1,0.2,5,0.5,2,0.5,1,125732,"[True, True, True]",28
3.358779341572167,36.0,1.0,0.10551595687866211,1,0.2,5,0.5,2,0.5,1,31253,"[True, True, True]",56
3.5744377566703998,20.0,1.0,0.05388283729553223,1,0.2,5,0.5,2,1.0,2,42,"[True, True, True]",40
,,,,1,0.2,5,0.5,2,1.0,2,18,"[True, True, False]",54
0.9037018037371141,24.0,1.0,0.05817842483520508,1,0.2,5,0.5,2,1.0,2,2306406,"[True, True, True]",44
0.49549529812398374,11.0,0.0,0.04204845428466797,1,0.2,5,0.5,2,1.0,2,98,"[True, True, True]",31
2.576123770715241,20.0,2.0,0.05336737632751465,1,0.2,5,0.5,2,1.0,2,12471,"[True, True, True]",40
4.467882234770341,5.0,2.0,0.03417849540710449,1,0.2,5,0.5,2,1.0,2,41274,"[True, True, True]",25
2.1655401953004825,14.0,0.0,0.04912519454956055,1,0.2,5,0.5,2,1.0,2,5328,"[True, True, True]",34
2.4520289519145386,30.0,0.0,0.06707620620727539,1,0.2,5,0.5,2,1.0,2,1247,"[True, True, True]",50
4.646830399399341,23.0,2.0,0.05661487579345703,1,0.2,5,0.5,2,1.0,2,125732,"[True, True, True]",43
2.058550230134043,25.0,2.0,0.05955696105957031,1,0.2,5,0.5,2,1.0,2,31253,"[True, True, True]",45
2.106343170925695,20.0,1.0,0.052454471588134766,1,0.5,5,0.1,2,0.0,0,42,"[True, True, True]",40
0.36131017270413546,38.0,0.0,0.08541107177734375,1,0.5,5,0.1,2,0.0,0,18,"[True, True, True]",58
0.3244443056927473,40.0,0.0,0.08822250366210938,1,0.5,5,0.1,2,0.0,0,2306406,"[True, True, True]",60
,,,,1,0.5,5,0.1,2,0.0,0,98,"[True, True, False]",27
1.4298298135535,18.0,2.0,0.049967050552368164,1,0.5,5,0.1,2,0.0,0,12471,"[True, True, True]",38
3.5516792897787246,10.0,0.0,0.03995800018310547,1,0.5,5,0.1,2,0.0,0,41274,"[True, True, True]",30
0.3746198248039212,14.0,2.0,0.04527902603149414,1,0.5,5,0.1,2,0.0,0,5328,"[True, True, True]",34
2.4520289519145386,30.0,0.0,0.06607985496520996,1,0.5,5,0.1,2,0.0,0,1247,"[True, True, True]",50
4.646830399399341,23.0,2.0,0.05847358703613281,1,0.5,5,0.1,2,0.0,0,125732,"[True, True, True]",43
2.058550230134043,25.0,2.0,0.058705806732177734,1,0.5,5,0.1,2,0.0,0,31253,"[True, True, True]",45
2.0534108776288917,15.0,1.0,0.060192108154296875,1,0.5,5,0.1,2,0.5,1,42,"[True, True, True]",35
0.45785985990010225,8.0,0.0,0.04853105545043945,1,0.5,5,0.1,2,0.5,1,18,"[True, True, True]",28
2.8550236410163885,30.0,1.0,0.0851442813873291,1,0.5,5,0.1,2,0.5,1,2306406,"[True, True, True]",50
2.3562946698723586,6.0,2.0,0.04512214660644531,1,0.5,5,0.1,2,0.5,1,98,"[True, True, True]",26
4.267908588373238,17.0,2.0,0.06398344039916992,1,0.5,5,0.1,2,0.5,1,12471,"[True, True, True]",37
0.32050145238957883,18.0,1.0,0.06480884552001953,1,0.5,5,0.1,2,0.5,1,41274,"[True, True, True]",38
0.9461942700073556,2.0,0.0,0.038332223892211914,1,0.5,5,0.1,2,0.5,1,5328,"[True, True, True]",22
2.209812445556979,10.0,2.0,0.051645517349243164,1,0.5,5,0.1,2,0.5,1,1247,"[True, True, True]",30
0.6814911924658658,8.0,0.0,0.04881167411804199,1,0.5,5,0.1,2,0.5,1,125732,"[True, True, True]",28
3.358779341572167,36.0,1.0,0.11007452011108398,1,0.5,5,0.1,2,0.5,1,31253,"[True, True, True]",56
3.5744377566703998,20.0,1.0,0.053018808364868164,1,0.5,5,0.1,2,1.0,2,42,"[True, True, True]",40
0.36131017270413546,38.0,0.0,0.07936596870422363,1,0.5,5,0.1,2,1.0,2,18,"[True, True, True]",58
0.3244443056927473,40.0,0.0,0.07838988304138184,1,0.5,5,0.1,2,1.0,2,2306406,"[True, True, True]",60
0.3299120076379829,11.0,0.0,0.041463613510131836,1,0.5,5,0.1,2,1.0,2,98,"[True, True, True]",31
2.576123770715241,20.0,2.0,0.053003787994384766,1,0.5,5,0.1,2,1.0,2,12471,"[True, True, True]",40
4.467882234770341,5.0,2.0,0.03366827964782715,1,0.5,5,0.1,2,1.0,2,41274,"[True, True, True]",25
2.1655401953004825,14.0,0.0,0.04546380043029785,1,0.5,5,0.1,2,1.0,2,5328,"[True, True, True]",34
2.4520289519145386,30.0,0.0,0.07013297080993652,1,0.5,5,0.1,2,1.0,2,1247,"[True, True, True]",50
4.646830399399341,23.0,2.0,0.056958913803100586,1,0.5,5,0.1,2,1.0,2,125732,"[True, True, True]",43
2.058550230134043,25.0,2.0,0.05956602096557617,1,0.5,5,0.1,2,1.0,2,31253,"[True, True, True]",45
2.106343170925695,20.0,1.0,0.06655383110046387,1,0.5,5,0.2,2,0.0,0,42,"[True, True, True]",40
0.36131017270413546,38.0,0.0,0.09121346473693848,1,0.5,5,0.2,2,0.0,0,18,"[True, True, True]",58
0.3244443056927473,40.0,0.0,0.08324623107910156,1,0.5,5,0.2,2,0.0,0,2306406,"[True, True, True]",60
3.9715241749684367,11.0,2.0,0.04185676574707031,1,0.5,5,0.2,2,0.0,0,98,"[True, True, True]",31
2.576123770715241,20.0,2.0,0.05318117141723633,1,0.5,5,0.2,2,0.0,0,12471,"[True, True, True]",40
4.467882234770341,5.0,2.0,0.03391289710998535,1,0.5,5,0.2,2,0.0,0,41274,"[True, True, True]",25
2.1655401953004825,14.0,0.0,0.045984506607055664,1,0.5,5,0.2,2,0.0,0,5328,"[True, True, True]",34
2.4520289519145386,30.0,0.0,0.06680798530578613,1,0.5,5,0.2,2,0.0,0,1247,"[True, True, True]",50
4.646830399399341,23.0,2.0,0.05792236328125,1,0.5,5,0.2,2,0.0,0,125732,"[True, True, True]",43
2.058550230134043,25.0,2.0,0.05992555618286133,1,0.5,5,0.2,2,0.0,0,31253,"[True, True, True]",45
