epoch,loop,f1,roc_auc,accuracy
0,train,0.3068031704095112,0.4801023778071335,0.3068031704095112
0,validation,0.3918741808650065,0.5077041602465331,0.2110939907550077
1,train,0.3282694848084544,0.4962021136063408,0.3282694848084544
1,validation,0.40936977133296154,0.4834360554699538,0.1386748844375963
2,train,0.2965653896961691,0.4724240422721268,0.2965653896961691
2,validation,0.41061130334486734,0.49345146379044685,0.1679506933744222
3,train,0.3728533685601057,0.5296400264200792,0.3728533685601057
3,validation,0.4193011647254576,0.4922958397534669,0.1617873651771957
4,train,0.37912813738441214,0.5343461030383091,0.37912813738441214
4,validation,0.4337730870712401,0.49499229583975346,0.12788906009244994
-1,test,0.4440911499735029,0.5073189522342065,0.12942989214175654
