epoch,tag,true,pred_Neutral,pred_Conservative,pred_Liberal
0,train,Neutral,156,151,111
0,train,Conservative,486,447,272
0,train,Liberal,581,498,326
0,validation,Neutral,61,35,8
0,validation,Conservative,119,96,34
0,validation,Liberal,154,109,33
1,train,Neutral,150,108,160
1,train,Conservative,466,335,404
1,train,Liberal,556,340,509
1,validation,Neutral,80,22,2
1,validation,Conservative,149,85,15
1,validation,Liberal,200,85,11
2,train,Neutral,177,59,182
2,train,Conservative,538,143,524
2,train,Liberal,630,197,578
2,validation,Neutral,73,12,19
2,validation,Conservative,145,44,60
2,validation,Liberal,198,51,47
3,train,Neutral,109,115,194
3,train,Conservative,290,327,588
3,train,Liberal,331,381,693
3,validation,Neutral,62,26,16
3,validation,Conservative,146,56,47
3,validation,Liberal,175,67,54
4,train,Neutral,111,74,233
4,train,Conservative,296,193,716
4,train,Liberal,332,229,844
4,validation,Neutral,66,21,17
4,validation,Conservative,156,59,34
4,validation,Liberal,190,65,41
-1,test,Neutral,54,9,15
-1,test,Conservative,163,45,39
-1,test,Liberal,207,65,52
