epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,395,389,421
0,train,Liberal,441,506,458
0,train,Neutral,109,119,190
0,validation,Conservative,84,95,70
0,validation,Liberal,90,142,64
0,validation,Neutral,17,20,67
1,train,Conservative,577,420,208
1,train,Liberal,414,829,162
1,train,Neutral,87,81,250
1,validation,Conservative,102,114,33
1,validation,Liberal,90,175,31
1,validation,Neutral,32,28,44
2,train,Conservative,932,207,66
2,train,Liberal,229,1129,47
2,train,Neutral,45,34,339
2,validation,Conservative,126,92,31
2,validation,Liberal,114,159,23
2,validation,Neutral,35,30,39
3,train,Conservative,1122,62,21
3,train,Liberal,63,1321,21
3,train,Neutral,17,14,387
3,validation,Conservative,107,108,34
3,validation,Liberal,88,180,28
3,validation,Neutral,31,30,43
4,train,Conservative,1170,23,12
4,train,Liberal,17,1374,14
4,train,Neutral,7,8,403
4,validation,Conservative,125,93,31
4,validation,Liberal,103,164,29
4,validation,Neutral,33,30,41
-1,test,Conservative,133,89,25
-1,test,Liberal,101,186,37
-1,test,Neutral,28,26,24
