epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,384,416,405
0,train,Liberal,388,597,420
0,train,Neutral,98,89,231
0,validation,Conservative,121,95,33
0,validation,Liberal,102,164,30
0,validation,Neutral,25,27,52
1,train,Conservative,581,482,142
1,train,Liberal,392,902,111
1,train,Neutral,124,87,207
1,validation,Conservative,113,106,30
1,validation,Liberal,86,171,39
1,validation,Neutral,29,27,48
2,train,Conservative,915,225,65
2,train,Liberal,278,1081,46
2,train,Neutral,76,47,295
2,validation,Conservative,141,90,18
2,validation,Liberal,106,168,22
2,validation,Neutral,46,34,24
3,train,Conservative,1053,99,53
3,train,Liberal,107,1269,29
3,train,Neutral,59,25,334
3,validation,Conservative,152,72,25
3,validation,Liberal,140,132,24
3,validation,Neutral,37,28,39
4,train,Conservative,1143,35,27
4,train,Liberal,43,1345,17
4,train,Neutral,12,15,391
4,validation,Conservative,122,95,32
4,validation,Liberal,91,176,29
4,validation,Neutral,30,39,35
-1,test,Conservative,113,98,36
-1,test,Liberal,95,195,34
-1,test,Neutral,22,27,29
